text,label
"Dear customer, your invoice for March is attached.",0
Please confirm your attendance at the weekly team meeting.,0
Happy holidays! Wishing you and your family all the best.,0
URGENT: Your PayPal account has been suspended. Click here to verify.,1
Congratulations! You've been selected for a $500 Amazon gift card.,1
Security alert: Suspicious login detected. Reset your password immediately.,1
Kind reminder: The project deadline is approaching next week.,0
Attached are the financial reports you requested last Friday.,0
Win a free iPhone by filling out this quick 1-minute survey!,1
This is to notify you that your package has been shipped successfully.,0
